Restaurant Name,Category,Rating,Cost for two,Veg,city,Area,Locality,Address,Long Distance Delivery
KFC,"American,Snacks,Biryani",3.9,400,FALSE,Delhi,Paharganj,KFC Paharganj,"KFC Restaurant 2154, Desh Bandhu Gupta Road, Near Paharganj Police Station Front of Bank of Baroda, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055",0
McDonald's,American,4.3,400,FALSE,Delhi,Kashmere Gate,Delhi ISBT DMRC (GF),"Delhi ISBT DMRC,ISBT DMRC Railway Station. Kashmere Gate, Delhi- 110006",0
Haldiram's,"Sweets,Snacks,North Indian",4,350,TRUE,Delhi,Chandni Chowk,Chandni Chowk,1452/2 Near Fountain Chandni Chowk Delhi 110015,0
Chai Point,"Bakery,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi",4.2,150,FALSE,Delhi,Connaught Place,Connaught Place,"Shop No - B1, B Block Middle circle , Connaught Place New Delhi 110001",0
Bikanervala Chandni Chowk,"Street Food,Sweets",4.1,400,FALSE,Delhi,Old Delhi,Old Delhi,"382, NEAR FATEH PUR, CHANDNI CHOWK,110006",0
La Pino'z Pizza ,"Italian,Pizzas,Fast Food,Mexican,Desserts,Beverages",3.7,250,FALSE,Delhi,Kamla Nagar,Kamla Nagar,"5888, 28UA, Jawahar Nagar, Kamla Nagar, Delhi, 110007",0
Burger King,American,4.2,350,FALSE,Delhi,Connaught Place,New Delhi Railway Station,"Commercial Site,New Delhi Railway Station,DMRC, New Delhi - 110006",0
Chaayos Chai+Snacks=Relax,"Bakery,Beverages,Chaat,Desserts,Home Food,Italian,Maharashtrian,Snacks,Street Food,Sweets",4.2,250,FALSE,Delhi,Kashmere Gate,"Chaayos Kashmere Gate, Tis Hazari","Unit No 07, Kashmiri Gate Metro Delhi New Delhi Delhi India 110006",0
Capten Milkshakes,Beverages,NA,300,TRUE,Delhi,Chandni Chowk,CHANDNI CHOWK,"1215, Main Chandni Chowk Road, Opposite New Katra, Chandni Chowk, New Delhi",0
The Brijwasi Restaurant,"North Indian,South Indian,Continental,Chinese",NA,300,FALSE,Delhi,Chandni Chowk,Chandni Chowk,"379, Near Kucha Ghasi Ram, Chandni Chowk, New Delhi",0
Great Indian Khichdi by EatFit,"Home Food,Indian,North Indian,Healthy Food,Snacks,Desserts,Rajasthani,South Indian,Maharashtrian,Sweets",4.2,200,TRUE,Delhi,Gole Market,Chuna Mandi Paharganj,"1830-1831, Gf, Laxmi Narain Street, Chuna Mandi, Paharganj, Delhi, New Delhi, Delhi-110055",0
Jung Bahadur Kachori Wala (Old Delhi Original),Snacks,4.5,100,TRUE,Delhi,Chandni Chowk,Chandni Chowk,"1104, Maliwara Jogiwari, Gali Paranthe Wali",0
Qureshi Kabab Corner (Old Delhi Original),"Kebabs,Mughlai,Biryani",3.9,350,FALSE,Delhi,"Jama Masjid, Old Delhi",Jama Masjid,"Shop 3939, Urdu Bazar N Jagart Cinema, Delhi opposite Mother Diary, Delhi. 110006",0
Chalte Firte Momos & Special Foods,"Chinese,Tandoor,Snacks",3.8,250,FALSE,Delhi,Jawahar Nagar,GTB Nagar,"32, UB, Jawahar Nagar, Bangla Road, Kamla Nagar, New Delhi",0
Shri Hari Sharnam,"South Indian,North Indian,Chinese",4.5,350,FALSE,Delhi,Tis Hazari,Old Delhi,"1490-91,Kashmiri Gate,near Ritz Cinema,Delhi - 110006",0
PUNJABI SWAD,"Chinese,Tandoor,Indian",3.4,300,FALSE,Delhi,Tis Hazari,Old Delhi,"3557 MAIN ROAD MORI GATE , District - Central, STATE - Delhi",0
Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts,Ice Cream,Ice Cream Cakes",4.5,100,FALSE,Delhi,Karol Bagh,Karol Bagh,"HOUSE NO 16/2,16/1 TO 16/4 FLOOR GROUND (MUNICIPAL NO- 11290-91/XIV) NEW ROHTAK ROAD, KAROL BAGH, KAROL BAGH, Central, Delhi, 110005",0
Bhikharam Chandmal,"Sweets,Snacks,Desserts",NA,150,FALSE,Delhi,Old Delhi,Old Delhi,"251 ,Chandani Chowk ,Delhi ,Kotwali Central ( Delhi) 110006",0
Akash Deep,"North Indian,South Indian,Chinese",4.1,250,TRUE,Delhi,Daryaganj,Daryaganj,"3627, First Floor, Golcha Cinema Corner, Daryaganj, New Delhi",0
HOTEL MAIDAH,"North Indian,Snacks,Kebabs",4,400,FALSE,Delhi,Old Delhi,Old Delhi,"2614, CHOORIWALAN, JAMA MASJID, DELHI-06-KOTWALI DELHI-110002",0
The Good Bowl,"North Indian,Punjabi,Biryani,Chinese,Beverages,Desserts,Jain,Indian,Hyderabadi,Mughlai",4.1,400,FALSE,Delhi,Barakhamba,Connaught Place Minto Road,"GANDHI MARKET, MINTO ROAD,SHOP NO30",0
Wow! Momo,"Tibetan,Healthy Food,Asian,Chinese,Snacks,Continental,Desserts,Beverages",3.9,300,FALSE,Delhi,Kashmere Gate,Kashmiri Gate,"Wow Momo, Bay-5 , Ground Floor, Eldeco Junction, Kashmiri Gate Metro, New Delhi -110006",0
Al Yousuf,Mughlai,NA,400,FALSE,Delhi,Chandni Chowk,Chandni Chowk,"5187, Ballimaran, Chandni Chowk, New Delhi",0
FAMOUS FRIED CHICKEN (FFC),Indian,NA,200,FALSE,Delhi,Chandni Chowk,Old Delhi,"2185,SHANKER STREET,ASAFALIROAD,KOTWALI,CENTRAL(DELHI)-110006",0
Wendy's,"American,Snacks,Fast Food",4,350,FALSE,Delhi,Kamla Nagar,Kamla Nagar,"9UB, Bungalow Road, Jawahar Nagar, Kamla Nagar, New Delhi",0
Jumboking Indian Burger,"American,Mexican,Fast Food,Snacks,Beverages",NA,150,FALSE,Delhi,Old Delhi,Old Delhi,"PD 01 , CONCOURSE LEVEL NEAR GATE NO 04,LALQUILA METRO STATION,NEW DELHI,110006",0
Ghee and Turmeric,"North Indian,Tandoor,Punjabi,Beverages,Desserts,Mughlai",4,500,FALSE,Delhi,Kashmere Gate 2,Kashmere Gate 2,"Unit No 07, Kashmiri Gate Metro Delhi New Delhi Delhi India 110006",0
Super Chai,"Beverages,Fast Food,Snacks",NA,300,FALSE,Delhi,Old Delhi,Old Delhi,"plot no- 1102, bazar paiwalan, near situated at jama masjid, kotwali central, delhi-110006",0
Nayaab Shawarma,American,NA,150,FALSE,Delhi,Old Delhi,Old Delhi,"5107, Chandni Chowk Rd, Balli Maran, Katra Nawab, Chandni Chowk, New Delhi, Delhi 110006, India",0
Jain Pavitra Chach Bhandar,Fast Food,NA,120,FALSE,Delhi,Old Delhi,Old Delhi,"SN-3019/1 ground floor , masjid khajoor , s dharam pura, kotwali , central delhi",0
Love Chinese Corner,"North Indian,Chinese",3.7,200,TRUE,Delhi,Malka Ganj,Kamla Nagar,"3537, Subzi Mandi, Kamla Nagar, New Delhi",0
Al Yamin,"Mughlai,Biryani,Kebabs",3.9,300,FALSE,Delhi,"Jama Masjid, Old Delhi",Old Delhi,"1150 A, Matia Mahal Road, Jama Masjid, New Delhi",0
Karim's Jama Masjid,"Mughlai,North Indian",3.7,400,FALSE,Delhi,Jama Masjid,Old Delhi,"16 Urdu Bazar Road Infront of Jama Masjid Gate No.1, Gali Bhairo Wali, Kababiyan, New Delhi, Delhi 110006, India",0
INDIYUM,"Snacks,Chaat,Indian,Beverages",NA,340,FALSE,Delhi,FATEHPURI,FATEHPURI,"PROPERTY BEARING NO. 8-12, GROUND FLOOR, S.NO.11, CHURCH MISSION ROAD, FATEHPURI, DELHI, CIVIL LINES, Central, Delhi-110006",0
The Yellow Bowl,"Chinese,Snacks",4,300,FALSE,Delhi,Old Delhi,Old Delhi,"3710 NETAJI SUBHASH MARG DARYA GANJ, Karol Bagh North, KAROL BAGH, Central, Delhi - 110002",0
Crispers,Fast Food,4.2,300,FALSE,Delhi,Old Delhi,Old Delhi,"12-A/52-A, KH NO. 315, ROAD NO. 66, JAMALUKA BAGH, MAUJPUR-110053",0
Biryani Blues,"Biryani,Hyderabadi,Lucknowi,Kebabs,Desserts,Beverages",NA,400,FALSE,Delhi,Tis Hazari,Tis Hazari,"Unit No. 02, Ground Floor, Eldeco Junction, Kashmeeri Gate Metro Station, New Delhi, CIVIL LINES, Central, Delhi-110006",0
Al Jawahar Restaurant (Jama Masjid),"Mughlai,North Indian",3.6,400,FALSE,Delhi,Daryaganj,Jama Masjid,3708 Netaji Subhash Marg darya Ganj New delhi.,0
Nandlal Ka Dhaba,"North Indian,Mughlai",3.9,250,FALSE,Delhi,Daryaganj,Daryaganj,"4701/2, Ansari Road, Daryaganj, New Delhi",0
Gupta Ji's Pav Bhaji,Snacks,3.8,150,TRUE,Delhi,Daryaganj,Dayanand Marg,"Shop No-9, Dayanand Marg, Fruit Market, Daryaganj, New Delhi.",0
AL-FAIS,"North Indian,Desserts",NA,298,FALSE,Delhi,Old Delhi,Old Delhi,"3905, Ground Floor, Jagat  Cinema. Urdu Bazar, Near Jama Masjid,  DELHI",0
Mehtas (Old Delhi Original),"Street Food,Desserts,Sweets",4.3,150,TRUE,Delhi,Daryaganj,Daryaganj,"3627/1, Near Golcha Cinema, Daryaganj, New Delhi. ",0
NEGI RESTAURANT,North Indian,NA,300,FALSE,Delhi,Old Delhi,Old Delhi,3450 DELHI CHAMBER DELHI GATE KOTWALI CENTRAL DELHI 110002,0
Zaika (Daryaganj),"North Indian,Mughlai,Chinese",4.2,600,FALSE,Delhi,Daryaganj,Daryaganj,"3615, Near Golcha Cinema, Daryaganj, New Delhi",0
Bikanervala (Kashmere Gate),"Fast Food,North Indian",NA,300,FALSE,Delhi,Tis Hazari,Tis Hazari,"Counter No. 01 & 02, Ground Floor, Kashmere Gate Metro Station, New Delhi - 110006",0
Taufiq Express,"Biryani,Indian",3.8,500,FALSE,Delhi,Old Delhi,Old Delhi,"3778, Netaji Subhash Marg, Kalan Mahal, Daryaganj, New Delhi, Delhi 110002, India",0
Costa Grillz,"Chinese,Fast Food",4,400,FALSE,Delhi,Chandni Chowk,Old Delhi,"2149, Turkman Gate, Near Haj Manzil, Asaf Ali Road, Daryaganj, New Delhi",0
Planet Pizza,Pizzas,NA,60,FALSE,Delhi,Lajpat Nagar,Lajpat Nagar,"G-33 JANGPURA EXTENSION NEW DELHI, SARAI KALE KHAN, DEFENCE COLONY, South East, Delhi - 110014",0
SATNAM SINGH,"North Indian,Chinese,Tandoor,Biryani,Salads",NA,250,FALSE,Delhi,Dwarka,Dwarka,"C-713 c, Palam extn shiksha bharti Road, Sector-7, Dwarka, PALAM, DWARKA, South West  , Delhi - 110075",0
Pizzaon The Fire,Fast Food,NA,300,FALSE,Delhi,Old Delhi,Old Delhi,"G-7, Vardhman City 2  Plaza, Asaf Ali Road 110006",0
SAI RAMesh Bakery,Bakery,NA,100,TRUE,Delhi,Old Delhi,Old Delhi,"House no. 268, 1st floor, gali-kucha sanjogi ram, naya bans, khari baoli, Delhi-6",0
Walla habibi,"Italian,Fast Food,Chinese,Ice Cream",NA,240,FALSE,Delhi,Old Delhi,Old Delhi,"Darya Ganj Ln, Kalan Mahal, Daryaganj, New Delhi, Delhi 110002, India",0
Amritsariya,North Indian,3.9,250,TRUE,Delhi,Civil Lines,"Rajpur Rd, Civil Lines","13-A, rajpur road,civil lines, Delhi-110054",0
